观看数量,弹幕数量,评论数量,收藏数量,投币数量,分享数量,点赞数量,综合得分
665877,14510,17222,31936,62490,2142,40501,1570832
1953579,60902,3449,22177,10060,4434,88069,854323
435517,10418,1953,3035,9458,856,64036,801448
651701,1660,903,18501,10824,3014,24762,669050
488335,651,890,3662,1385,415,38150,594241
480307,7749,2480,33795,54457,3291,72954,577948
279952,5345,1540,6581,8475,1980,26376,528373
754602,959,1160,33330,12372,1948,46671,512316
257402,222,456,29944,3960,1063,19696,503740
